control : 3.9294778989111414 , a_p : 4.183649003505707 -0.8163509964942932
control : 1.0969996802457906 , a_p : 4.990808482281864 -0.00919151771813631
control : 3.3448033222320177 , a_p : 4.552416443824768 -0.44758355617523193
control : -0.9220404765898227 , a_p : 5.699988007545471 0.6999880075454712
control : 2.6428630876000607 , a_p : 4.974895730614662 -0.02510426938533783
control : -1.4250110233889588 , a_p : 6.440534353256226 1.4405343532562256
control : -0.7133477959910195 , a_p : 6.78082811832428 1.7808281183242798
control : 5.002180351019881 , a_p : 5.519155263900757 0.5191552639007568
control : 3.6857639333903407 , a_p : 5.375296592712402 0.37529659271240234
control : 7.818399843185663 , a_p : 4.315893530845642 -0.6841064691543579
control : 3.2080077686730775 , a_p : 5.166031673550606 0.16603167355060577
control : 7.4598150897113165 , a_p : 3.6541972160339355 -1.3458027839660645
control : 3.28199283538509 , a_p : 5.000414421519963 0.00041442151996307075
control : 7.141929270658277 , a_p : 3.446498990058899 -1.553501009941101
control : 2.0962880600686518 , a_p : 5.067937582731247 0.06793758273124695
control : 4.979237657131684 , a_p : 3.8381545543670654 -1.1618454456329346
control : 1.4835632566951205 , a_p : 4.769074529409409 -0.23092547059059143
control : 2.8190019401646094 , a_p : 4.6706263422966 -0.32937365770339966
control : -0.8735020330614134 , a_p : 5.898216664791107 0.8982166647911072
control : 1.9722981795481633 , a_p : 5.27951243519783 0.2795124351978302
control : 0.27341634741825693 , a_p : 6.104061126708984 1.1040611267089844
control : 4.323041844961132 , a_p : 5.1122652143239975 0.1122652143239975
control : 0.42811398791563526 , a_p : 6.325932264328003 1.325932264328003
control : 4.996229413731683 , a_p : 4.77184122800827 -0.22815877199172974
control : 1.9943604077982844 , a_p : 5.596802830696106 0.596802830696106
control : 4.786752495514671 , a_p : 4.853609547019005 -0.14639045298099518
control : 3.082741002735183 , a_p : 5.3681308925151825 0.3681308925151825
control : 7.425475896492859 , a_p : 3.9957172870635986 -1.0042827129364014
control : 3.7761275038108923 , a_p : 4.828752890229225 -0.17124710977077484
control : 6.547837683349702 , a_p : 3.9064613580703735 -1.0935386419296265
control : 1.8546735949431383 , a_p : 5.1001842841506 0.10018428415060043
control : 4.769303509587832 , a_p : 4.0250022411346436 -0.9749977588653564
control : -1.0791086917452333 , a_p : 5.98921275138855 0.9892127513885498
control : 1.9804027351543638 , a_p : 4.807612732052803 -0.19238726794719696
control : 1.155570508533934 , a_p : 5.61615127325058 0.6161512732505798
control : 4.071452153300164 , a_p : 4.518718987703323 -0.48128101229667664
control : -0.42079185719973466 , a_p : 5.9128517508506775 0.9128517508506775
control : 3.374739707835971 , a_p : 4.54755899310112 -0.45244100689888
control : 0.876729457933223 , a_p : 5.483262538909912 0.4832625389099121
control : 3.711231700251023 , a_p : 4.74131053686142 -0.2586894631385803
control : 1.1821835426398994 , a_p : 5.4987059235572815 0.4987059235572815
control : 4.494841319433762 , a_p : 4.630996346473694 -0.36900365352630615
control : 2.393993086167791 , a_p : 5.0864971205592155 0.08649712055921555
control : 4.521861527562422 , a_p : 4.914636828005314 -0.08536317199468613
control : 2.252689137957754 , a_p : 5.629068195819855 0.6290681958198547
control : 3.594697012710501 , a_p : 5.369168668985367 0.3691686689853668
control : 8.024808282661688 , a_p : 4.101089417934418 -0.8989105820655823
control : 2.8156848078996273 , a_p : 4.913565181195736 -0.08643481880426407
control : 6.001893904934505 , a_p : 3.8296784162521362 -1.1703215837478638
control : 0.4179129959482122 , a_p : 5.410111337900162 0.41011133790016174
control : 3.578489249263683 , a_p : 4.33827018737793 -0.6617298126220703
control : 0.15882623010291752 , a_p : 5.485946029424667 0.48594602942466736
control : 3.4786228145439146 , a_p : 4.310965538024902 -0.6890344619750977
control : -2.279054022872627 , a_p : 6.214309215545654 1.2143092155456543
control : 2.0588462154715987 , a_p : 4.806815937161446 -0.19318406283855438
control : -0.1549410759815366 , a_p : 5.815459251403809 0.8154592514038086
control : 3.6073661256570357 , a_p : 4.759477406740189 -0.2405225932598114
control : 0.14595851522045677 , a_p : 5.65499609708786 0.6549960970878601
control : 3.212859366671543 , a_p : 4.9568320624530315 -0.04316793754696846
control : 0.3428423299609804 , a_p : 5.8647876381874084 0.8647876381874084
control : 4.3997444107893795 , a_p : 4.607675492763519 -0.3923245072364807
control : 2.6405753406535695 , a_p : 5.007410413119942 0.00741041311994195
control : 2.5946114412966796 , a_p : 5.157690420746803 0.15769042074680328
control : 8.510294734968205 , a_p : 3.8046905994415283 -1.1953094005584717
control : 2.2617865294990764 , a_p : 5.449439823627472 0.4494398236274719
control : 3.873067685362491 , a_p : 4.7055502235889435 -0.2944497764110565
control : 8.711627965536792 , a_p : 3.652796506881714 -1.3472034931182861
control : 0.07856635151614988 , a_p : 5.701370537281036 0.7013705372810364
control : 5.076807594797463 , a_p : 3.9691911935806274 -1.0308088064193726
control : 1.6571604314590402 , a_p : 5.6085041761398315 0.6085041761398315
control : 0.8540063058671024 , a_p : 5.3146436512470245 0.31464365124702454
control : 1.82602346180005 , a_p : 5.2651572823524475 0.2651572823524475
control : -0.1554753972347287 , a_p : 5.450221359729767 0.45022135972976685
control : 1.5757519565697518 , a_p : 5.751654028892517 0.7516540288925171
control : 2.418098543699873 , a_p : 5.651722252368927 0.651722252368927
